video_id,publish_hour,publish_day_of_week,publish_month,publish_is_weekend,hours_to_trending,channel_age_days_at_publish,duration_seconds,is_short,title_length_chars,title_word_count,title_has_capitalized_word,title_uppercase_ratio,title_exclamation_count,title_question_count,title_has_number,title_has_bracket,title_emoji_count,description_length_chars,description_word_count,description_has_url,description_url_count,description_line_count,has_description,tag_count,has_tags,video_category,video_definition_hd,video_licensed_content,trending_country,channel_country,channel_subscriber_count,channel_view_count,channel_video_count,channel_have_hidden_subscribers,channel_avg_views_per_video,channel_sub_to_view_ratio,channel_description_length,channel_has_custom_url,log_channel_subscriber_count,log_channel_view_count,log_channel_video_count,log_channel_avg_views_per_video,_target_view_count,_target_like_count,_target_comment_count,_target_engagement_rate
J2XmBdL6nM4,9,3,7,0,254.0638888888889,2304.404628970081,1112.0,0,49,10,1,0.5714285714285714,0,0,1,0,0,131,20,1,1,2,1,17,1,Entertainment,1,1,Philippines,United States,2930000,585487027,455,0,1286784.6747252748,0.005004380737542798,0,1,14.89051332229012,20.187954585333895,6.1224928095143865,14.06765794180546,660795,3674,231,0.005909548347066791
0LMN5wLScKI,23,3,7,0,240.99277777777777,966.1124146889814,5216.0,0,71,13,0,0.18309859154929578,0,0,1,0,2,1714,285,0,0,35,1,0,0,Music,1,1,Philippines,United States,75600,15963549,38,0,420093.3947368421,0.004735789015337379,489,1,11.233224789593368,16.585818556329507,3.6635616461296463,12.948234714380627,221253,892,12,0.004085820305261397
yZPEdp7uhXA,16,4,7,0,55.99388888888889,3921.54625,824.0,0,39,6,0,0.05128205128205128,0,0,0,0,0,1196,167,1,3,28,1,0,0,Gaming,1,1,Philippines,United States,1000000,329894537,755,0,436946.4066225166,0.003031271778835186,845,1,13.815511557963774,19.614283579529467,6.628041376179533,12.987568115856744,584964,14358,1343,0.02684096799119262
qTQAzafOLPs,13,5,7,1,202.67833333333334,165.55504203326387,216.0,0,32,5,0,0.125,0,0,0,1,0,2712,421,1,14,83,1,15,1,Music,1,1,Philippines,United States,2060,9539804,166,0,57468.698795180724,0.00021593735049483197,369,1,7.630946580890459,16.07098360296399,5.117993812416755,10.959013110408893,132247,282,0,0.002132373513198787
1Z08ltdDMK4,19,2,7,0,268.935,199.15677269936342,403.0,0,91,17,0,0.13186813186813187,0,0,0,0,0,487,33,1,5,11,1,0,0,Music,1,0,Philippines,United States,12100,4575069,22,0,207957.68181818182,0.0026447688548522437,612,1,9.401043372798053,15.336132557121156,3.1354942159291497,12.245094693846008,359203,2698,65,0.007692029298196285
lPBPz5qo1YI,9,6,7,1,14.992777777777778,706.6264881252778,1403.0,0,79,14,1,0.25316455696202533,0,0,0,0,0,1157,155,0,0,11,1,21,1,Gaming,1,1,Philippines,United States,289000,140902711,486,0,289923.2736625514,0.0020510606073434598,356,1,12.574185427296195,18.763580224377073,6.18826412308259,12.577375042561963,135900,708,29,0.0054231052244297275
pBcNeC7V1ys,21,2,7,0,98.42333333333333,494.58046869407406,4045.0,0,95,13,1,0.16842105263157894,0,0,1,0,2,880,107,1,1,10,1,20,1,People & Blogs,1,1,Philippines,Philippines,151000,34153593,441,0,77445.78911564626,0.00442120394185174,843,1,11.92504173829169,17.346378380024827,6.091309882077698,11.25734638747299,27590,106,3,0.00395070677781805
GnmlQxd4YOw,14,3,7,0,81.67416666666666,4306.607037037037,2687.0,0,70,12,1,0.5285714285714286,0,0,1,0,0,70,12,0,0,1,1,0,0,Gaming,1,1,Philippines,Brazil,2000000,298173208,448,0,665565.1964285715,0.0067075107566337755,53,1,14.508658238524095,19.513185113871184,6.1070228877422545,13.408393380583725,380064,1306,23,0.003496779489770144
YrvzPP1cQlI,19,5,7,1,28.991666666666667,4655.331203703704,977.0,0,41,7,1,0.3170731707317073,0,0,0,0,0,1827,265,1,6,17,1,0,0,Gaming,1,1,Philippines,United Kingdom,4430000,2474167929,3223,0,767659.9221222464,0.0017905009389522324,384,1,15.303910367754927,21.62916998654358,8.07837810362652,13.551103406983284,151150,1777,59,0.012146873966258683
fvvwhvVk65I,22,3,7,0,73.83333333333333,24.765597164050927,3076.0,0,85,13,1,0.29411764705882354,0,0,0,0,1,632,88,0,0,8,1,13,1,Music,1,1,Philippines,Philippines,3070,878825,21,0,41848.80952380953,0.0034933007140215628,920,1,8.029758520440822,13.686342204853757,3.091042453358316,10.641842524504863,18773,243,1,0.012997389868428062
2F3EbJ1rpdQ,8,5,7,1,39.99,3174.739710648148,948.0,0,33,6,1,0.5454545454545454,0,0,1,0,0,385,49,1,2,11,1,18,1,Gaming,1,1,Philippines,Philippines,264000,50891824,199,0,255737.80904522614,0.005187473728589488,25,1,12.483708170000067,17.74521285958441,5.298317366548036,12.45191192545757,44512,1072,229,0.02922807332854062
